Juego{Nombre='Dungeon Siege I', Plataforma='PC             ', Desarrollador='Obsidian Entert', Género='Role-Playing   ', Número de Jugadores='4  Online      ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Jun 20, 2011', Críticas Positivas=16, Críticas Neutrales=20, Críticas Negativas=1, Reseñas Positivas=36, Reseñas Neutrales=38, Reseñas Negativas=106, Meta Score=72.0, User Score=47.0}
Juego{Nombre='Fallout: New Ve', Plataforma='PC             ', Desarrollador='Obsidian Entert', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Feb 22, 2011', Críticas Positivas=4, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=19, Reseñas Neutrales=19, Reseñas Negativas=21, Meta Score=70.0, User Score=63.0}
Juego{Nombre='Forsaken World ', Plataforma='PC             ', Desarrollador='Perfect World E', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Mar 22, 2011', Críticas Positivas=4, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=17, Reseñas Neutrales=14, Reseñas Negativas=21, Meta Score=69.0, User Score=50.0}
Juego{Nombre='Runespell: Over', Plataforma='PC             ', Desarrollador='Mystic Box     ', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jul 20, 2011', Críticas Positivas=5, Críticas Neutrales=9, Críticas Negativas=0, Reseñas Positivas=9, Reseñas Neutrales=3, Reseñas Negativas=3, Meta Score=69.0, User Score=69.0}
Juego{Nombre='Mount & Blade: ', Plataforma='PC             ', Desarrollador='Taleworlds     ', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='May  3, 2011', Críticas Positivas=7, Críticas Neutrales=16, Críticas Negativas=1, Reseñas Positivas=20, Reseñas Neutrales=26, Reseñas Negativas=10, Meta Score=68.0, User Score=69.0}
Juego{Nombre='The Lord of the', Plataforma='PC             ', Desarrollador='Snowblind Studi', Género='Role-Playing   ', Número de Jugadores='3  Online      ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Nov  1, 2011', Críticas Positivas=4, Críticas Neutrales=16, Críticas Negativas=1, Reseñas Positivas=45, Reseñas Neutrales=24, Reseñas Negativas=23, Meta Score=66.0, User Score=71.0}
Juego{Nombre='Dragon Age II: ', Plataforma='PC             ', Desarrollador='BioWare        ', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jul 26, 2011', Críticas Positivas=4, Críticas Neutrales=6, Críticas Negativas=1, Reseñas Positivas=6, Reseñas Neutrales=6, Reseñas Negativas=19, Meta Score=66.0, User Score=43.0}
Juego{Nombre='Fallout: New Ve', Plataforma='PC             ', Desarrollador='Obsidian Entert', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 17, 2011', Críticas Positivas=3, Críticas Neutrales=7, Críticas Negativas=2, Reseñas Positivas=11, Reseñas Neutrales=18, Reseñas Negativas=5, Meta Score=66.0, User Score=67.0}
Juego{Nombre='Darkspore      ', Plataforma='PC             ', Desarrollador='Maxis          ', Género='Role-Playing   ', Número de Jugadores='4  Online      ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Apr 25, 2011', Críticas Positivas=13, Críticas Neutrales=38, Críticas Negativas=1, Reseñas Positivas=38, Reseñas Neutrales=12, Reseñas Negativas=13, Meta Score=65.0, User Score=60.0}
Juego{Nombre='Mass Effect 2: ', Plataforma='PC             ', Desarrollador='BioWare        ', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 29, 2011', Críticas Positivas=1, Críticas Neutrales=9, Críticas Negativas=1, Reseñas Positivas=7, Reseñas Neutrales=7, Reseñas Negativas=5, Meta Score=63.0, User Score=61.0}
Juego{Nombre='Chantelise: A T', Plataforma='PC             ', Desarrollador='EasyGameStation', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jul 29, 2011', Críticas Positivas=2, Críticas Neutrales=10, Críticas Negativas=1, Reseñas Positivas=10, Reseñas Neutrales=1, Reseñas Negativas=6, Meta Score=62.0, User Score=70.0}
Juego{Nombre='E.Y.E: Divine C', Plataforma='PC             ', Desarrollador='Streum On Studi', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='RP             ', Fecha de Lanzamiento='Jul 29, 2011', Críticas Positivas=5, Críticas Neutrales=12, Críticas Negativas=5, Reseñas Positivas=33, Reseñas Neutrales=23, Reseñas Negativas=16, Meta Score=61.0, User Score=69.0}
Juego{Nombre='Venetica       ', Plataforma='PC             ', Desarrollador='Deck 13        ', Género='Role-Playing   ', Número de Jugadores='No Online Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Jan 25, 2011', Críticas Positivas=2, Críticas Neutrales=13, Críticas Negativas=2, Reseñas Positivas=6, Reseñas Neutrales=6, Reseñas Negativas=2, Meta Score=61.0, User Score=68.0}
Juego{Nombre='Faery: Legends ', Plataforma='PC             ', Desarrollador='Spiders        ', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='May  6, 2011', Críticas Positivas=0, Críticas Neutrales=7, Críticas Negativas=3, Reseñas Positivas=1, Reseñas Neutrales=4, Reseñas Negativas=0, Meta Score=59.0, User Score=66.0}
Juego{Nombre='APB: Reloaded  ', Plataforma='PC             ', Desarrollador='Reloaded Produc', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Dec  1, 2011', Críticas Positivas=1, Críticas Neutrales=9, Críticas Negativas=2, Reseñas Positivas=47, Reseñas Neutrales=23, Reseñas Negativas=64, Meta Score=56.0, User Score=57.0}
Juego{Nombre='Afterfall: InSa', Plataforma='PC             ', Desarrollador='Nicolas Intoxic', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Nov 25, 2011', Críticas Positivas=1, Críticas Neutrales=12, Críticas Negativas=7, Reseñas Positivas=16, Reseñas Neutrales=11, Reseñas Negativas=15, Meta Score=50.0, User Score=59.0}
Juego{Nombre='Gods & Heroes: ', Plataforma='PC             ', Desarrollador='Heatwave Intera', Género='Role-Playing   ', Número de Jugadores='Massively Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Jun 21, 2011', Críticas Positivas=0, Críticas Neutrales=5, Críticas Negativas=3, Reseñas Positivas=9, Reseñas Neutrales=4, Reseñas Negativas=6, Meta Score=50.0, User Score=62.0}
Juego{Nombre='Dungeons & Drag', Plataforma='PC             ', Desarrollador='Bedlam Games   ', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='May 25, 2011', Críticas Positivas=1, Críticas Neutrales=6, Críticas Negativas=6, Reseñas Positivas=1, Reseñas Neutrales=8, Reseñas Negativas=8, Meta Score=49.0, User Score=36.0}
