Juego{Nombre='Metal Gear Soli', Plataforma='PS4            ', Desarrollador='Kojima Producti', Género='Modern         ', Número de Jugadores='Up to 16       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Sep  1, 2015', Críticas Positivas=84, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=591, Reseñas Neutrales=152, Reseñas Negativas=67, Meta Score=93.0, User Score=82.0}
Juego{Nombre=''Tom Clancy''s ', Plataforma='PC             ', Desarrollador='Ubisoft Montrea', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Dec  1, 2015', Críticas Positivas=29, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=159, Reseñas Neutrales=49, Reseñas Negativas=98, Meta Score=79.0, User Score=71.0}
Juego{Nombre=''Tom Clancy''s ', Plataforma='XONE           ', Desarrollador='Ubisoft Montrea', Género='Modern         ', Número de Jugadores='Up to 10       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Dec  1, 2015', Críticas Positivas=13, Críticas Neutrales=11, Críticas Negativas=0, Reseñas Positivas=61, Reseñas Neutrales=21, Reseñas Negativas=14, Meta Score=74.0, User Score=70.0}
Juego{Nombre='Battlefield Har', Plataforma='PS4            ', Desarrollador='Visceral Games ', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 17, 2015', Críticas Positivas=25, Críticas Neutrales=21, Críticas Negativas=0, Reseñas Positivas=75, Reseñas Neutrales=61, Reseñas Negativas=86, Meta Score=73.0, User Score=51.0}
Juego{Nombre=''Tom Clancy''s ', Plataforma='PS4            ', Desarrollador='Ubisoft Montrea', Género='Modern         ', Número de Jugadores='Up to 10       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Dec  1, 2015', Críticas Positivas=23, Críticas Neutrales=16, Críticas Negativas=1, Reseñas Positivas=122, Reseñas Neutrales=37, Reseñas Negativas=22, Meta Score=73.0, User Score=74.0}
Juego{Nombre='Block N Load   ', Plataforma='PC             ', Desarrollador='Jagex Games Stu', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Apr 30, 2015', Críticas Positivas=5, Críticas Neutrales=5, Críticas Negativas=0, Reseñas Positivas=9, Reseñas Neutrales=1, Reseñas Negativas=3, Meta Score=72.0, User Score=75.0}
Juego{Nombre='Battlefield Har', Plataforma='XONE           ', Desarrollador='Visceral Games ', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 17, 2015', Críticas Positivas=9, Críticas Neutrales=18, Críticas Negativas=0, Reseñas Positivas=35, Reseñas Neutrales=27, Reseñas Negativas=27, Meta Score=71.0, User Score=51.0}
Juego{Nombre='Battlefield Har', Plataforma='PC             ', Desarrollador='Visceral Games ', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 17, 2015', Críticas Positivas=14, Críticas Neutrales=16, Críticas Negativas=1, Reseñas Positivas=32, Reseñas Neutrales=36, Reseñas Negativas=109, Meta Score=71.0, User Score=40.0}
Juego{Nombre='Clandestine    ', Plataforma='PC             ', Desarrollador='Logic Artists  ', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Nov  5, 2015', Críticas Positivas=6, Críticas Neutrales=6, Críticas Negativas=1, Reseñas Positivas=1, Reseñas Neutrales=0, Reseñas Negativas=1, Meta Score=69.0, User Score=74.0}
Juego{Nombre='Sunset         ', Plataforma='PC             ', Desarrollador='Tale of Tales  ', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='May 21, 2015', Críticas Positivas=15, Críticas Neutrales=13, Críticas Negativas=6, Reseñas Positivas=1, Reseñas Neutrales=2, Reseñas Negativas=8, Meta Score=66.0, User Score=28.0}
Juego{Nombre='Hatred         ', Plataforma='PC             ', Desarrollador='Destructive Cre', Género='Modern         ', Número de Jugadores='No Online Multi', Clasificación de Edad='AO             ', Fecha de Lanzamiento='Jun  1, 2015', Críticas Positivas=0, Críticas Neutrales=21, Críticas Negativas=27, Reseñas Positivas=42, Reseñas Neutrales=28, Reseñas Negativas=77, Meta Score=43.0, User Score=46.0}
Juego{Nombre='Hitman         ', Plataforma='PS4            ', Desarrollador='Io Interactive ', Género='Modern         ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='Oct 31, 2016', Críticas Positivas=38, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=20, Reseñas Neutrales=5, Reseñas Negativas=1, Meta Score=84.0, User Score=79.0}
Juego{Nombre='Hitman         ', Plataforma='PC             ', Desarrollador='Io Interactive ', Género='Modern         ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='Oct 31, 2016', Críticas Positivas=18, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=18, Reseñas Neutrales=6, Reseñas Negativas=6, Meta Score=83.0, User Score=73.0}
Juego{Nombre='SUPERHOT       ', Plataforma='XONE           ', Desarrollador='SUPERHOT       ', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='May  3, 2016', Críticas Positivas=14, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=15, Reseñas Neutrales=2, Reseñas Negativas=0, Meta Score=83.0, User Score=80.0}
Juego{Nombre='SUPERHOT       ', Plataforma='PC             ', Desarrollador='SUPERHOT       ', Género='Modern         ', Número de Jugadores='No Online Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Feb 25, 2016', Críticas Positivas=77, Críticas Neutrales=16, Críticas Negativas=0, Reseñas Positivas=47, Reseñas Neutrales=32, Reseñas Negativas=9, Meta Score=82.0, User Score=75.0}
Juego{Nombre='The Flame in th', Plataforma='PC             ', Desarrollador='The Molasses Fl', Género='Modern         ', Número de Jugadores='No Online Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Feb 24, 2016', Críticas Positivas=21, Críticas Neutrales=22, Críticas Negativas=0, Reseñas Positivas=3, Reseñas Neutrales=6, Reseñas Negativas=4, Meta Score=73.0, User Score=59.0}
Juego{Nombre='Homefront: The ', Plataforma='XONE           ', Desarrollador='Deep Silver Dam', Género='Modern         ', Número de Jugadores='Up to 4        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 17, 2016', Críticas Positivas=1, Críticas Neutrales=7, Críticas Negativas=4, Reseñas Positivas=9, Reseñas Neutrales=10, Reseñas Negativas=14, Meta Score=49.0, User Score=45.0}
Juego{Nombre='Homefront: The ', Plataforma='PS4            ', Desarrollador='Deep Silver Dam', Género='Modern         ', Número de Jugadores='Up to 4        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 17, 2016', Críticas Positivas=0, Críticas Neutrales=25, Críticas Negativas=18, Reseñas Positivas=23, Reseñas Neutrales=20, Reseñas Negativas=34, Meta Score=48.0, User Score=40.0}
Juego{Nombre='Get Even       ', Plataforma='PC             ', Desarrollador='The Farm 51    ', Género='Modern         ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Jun 20, 2017', Críticas Positivas=17, Críticas Neutrales=14, Críticas Negativas=0, Reseñas Positivas=12, Reseñas Neutrales=4, Reseñas Negativas=1, Meta Score=75.0, User Score=75.0}
Juego{Nombre='Get Even       ', Plataforma='XONE           ', Desarrollador='The Farm 51    ', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jun 23, 2017', Críticas Positivas=9, Críticas Neutrales=5, Críticas Negativas=0, Reseñas Positivas=3, Reseñas Neutrales=0, Reseñas Negativas=1, Meta Score=73.0, User Score=83.0}
Juego{Nombre='Get Even       ', Plataforma='PS4            ', Desarrollador='The Farm 51    ', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jun 23, 2017', Críticas Positivas=17, Críticas Neutrales=18, Críticas Negativas=1, Reseñas Positivas=7, Reseñas Neutrales=1, Reseñas Negativas=3, Meta Score=71.0, User Score=74.0}
Juego{Nombre='Syberia 3      ', Plataforma='PC             ', Desarrollador='Microids       ', Género='Modern         ', Número de Jugadores='No Online Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Apr 20, 2017', Críticas Positivas=2, Críticas Neutrales=15, Críticas Negativas=16, Reseñas Positivas=11, Reseñas Neutrales=6, Reseñas Negativas=10, Meta Score=51.0, User Score=59.0}
