Juego{Nombre='Cave Story 3D  ', Plataforma='3DS            ', Desarrollador='Nicalis        ', Género='Action         ', Número de Jugadores='No Online Multi', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Nov  8, 2011', Críticas Positivas=26, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=15, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=82.0, User Score=82.0}
Juego{Nombre=''Skylanders: Sp', Plataforma='3DS            ', Desarrollador='Vicarious Visio', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Oct 16, 2011', Críticas Positivas=8, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=4, Reseñas Neutrales=3, Reseñas Negativas=8, Meta Score=82.0, User Score=50.0}
Juego{Nombre='Monday Night Co', Plataforma='PC             ', Desarrollador='Uber Entertainm', Género='Action         ', Número de Jugadores='1 Player       ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Jan 24, 2011', Críticas Positivas=9, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=10, Reseñas Neutrales=8, Reseñas Negativas=4, Meta Score=82.0, User Score=73.0}
Juego{Nombre='Star Fox 64 3D ', Plataforma='3DS            ', Desarrollador='Nintendo       ', Género='Action         ', Número de Jugadores='4  Online      ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Sep  9, 2011', Críticas Positivas=56, Críticas Neutrales=9, Críticas Negativas=0, Reseñas Positivas=53, Reseñas Neutrales=17, Reseñas Negativas=3, Meta Score=81.0, User Score=81.0}
Juego{Nombre='Rochard        ', Plataforma='PC             ', Desarrollador='Recoil Games   ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 15, 2011', Críticas Positivas=14, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=24, Reseñas Neutrales=6, Reseñas Negativas=2, Meta Score=81.0, User Score=79.0}
Juego{Nombre='Jamestown: Lege', Plataforma='PC             ', Desarrollador='Final Form Game', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jun  8, 2011', Críticas Positivas=17, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=29, Reseñas Neutrales=9, Reseñas Negativas=2, Meta Score=81.0, User Score=75.0}
Juego{Nombre='CAPSIZED       ', Plataforma='PC             ', Desarrollador='Alientrap      ', Género='Action         ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Apr 29, 2011', Críticas Positivas=16, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=14, Reseñas Neutrales=10, Reseñas Negativas=5, Meta Score=80.0, User Score=72.0}
Juego{Nombre='Dead or Alive: ', Plataforma='3DS            ', Desarrollador='Team Ninja     ', Género='Action         ', Número de Jugadores='2  Online      ', Clasificación de Edad='T              ', Fecha de Lanzamiento='May 24, 2011', Críticas Positivas=48, Críticas Neutrales=14, Críticas Negativas=0, Reseñas Positivas=24, Reseñas Neutrales=2, Reseñas Negativas=3, Meta Score=79.0, User Score=81.0}
Juego{Nombre='Bloodline Champ', Plataforma='PC             ', Desarrollador='Stunlock Studio', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jan 13, 2011', Críticas Positivas=12, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=23, Reseñas Neutrales=9, Reseñas Negativas=5, Meta Score=79.0, User Score=77.0}
Juego{Nombre='Rage           ', Plataforma='PC             ', Desarrollador='id Software    ', Género='Action         ', Número de Jugadores='Up to 4        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Oct  3, 2011', Críticas Positivas=24, Críticas Neutrales=7, Críticas Negativas=1, Reseñas Positivas=206, Reseñas Neutrales=145, Reseñas Negativas=321, Meta Score=79.0, User Score=53.0}
