Juego{Nombre='Borderlands 2  ', Plataforma='VITA           ', Desarrollador='Iron Galaxy Stu', Género='Shooter        ', Número de Jugadores='2              ', Clasificación de Edad='M              ', Fecha de Lanzamiento='May  6, 2014', Críticas Positivas=7, Críticas Neutrales=21, Críticas Negativas=3, Reseñas Positivas=121, Reseñas Neutrales=20, Reseñas Negativas=6, Meta Score=64.0, User Score=77.0}
Juego{Nombre='Sniper Elite II', Plataforma='XONE           ', Desarrollador='Rebellion      ', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jul  1, 2014', Críticas Positivas=1, Críticas Neutrales=11, Críticas Negativas=0, Reseñas Positivas=9, Reseñas Neutrales=11, Reseñas Negativas=3, Meta Score=63.0, User Score=66.0}
Juego{Nombre='Sir, You Are Be', Plataforma='PC             ', Desarrollador='Big Robot Ltd  ', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='May  2, 2014', Críticas Positivas=4, Críticas Neutrales=17, Críticas Negativas=4, Reseñas Positivas=10, Reseñas Neutrales=11, Reseñas Negativas=3, Meta Score=63.0, User Score=65.0}
Juego{Nombre='Firefall       ', Plataforma='PC             ', Desarrollador='Red 5 Studios  ', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jul 29, 2014', Críticas Positivas=2, Críticas Neutrales=15, Críticas Negativas=5, Reseñas Positivas=85, Reseñas Neutrales=10, Reseñas Negativas=28, Meta Score=60.0, User Score=67.0}
Juego{Nombre='Enemy Front    ', Plataforma='PC             ', Desarrollador='CI Games       ', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jun 10, 2014', Críticas Positivas=0, Críticas Neutrales=9, Críticas Negativas=4, Reseñas Positivas=9, Reseñas Neutrales=4, Reseñas Negativas=12, Meta Score=52.0, User Score=57.0}
Juego{Nombre='Halo 5: Guardia', Plataforma='XONE           ', Desarrollador='343 Industries ', Género='Shooter        ', Número de Jugadores='Up to 24       ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Oct 27, 2015', Críticas Positivas=89, Críticas Neutrales=12, Críticas Negativas=0, Reseñas Positivas=427, Reseñas Neutrales=173, Reseñas Negativas=203, Meta Score=84.0, User Score=64.0}
Juego{Nombre='Helldivers     ', Plataforma='PS4            ', Desarrollador='Arrowhead Game ', Género='Shooter        ', Número de Jugadores='2              ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Mar  3, 2015', Críticas Positivas=46, Críticas Neutrales=10, Críticas Negativas=0, Reseñas Positivas=64, Reseñas Neutrales=8, Reseñas Negativas=12, Meta Score=81.0, User Score=80.0}
Juego{Nombre='Dirty Bomb     ', Plataforma='PC             ', Desarrollador='Splash Damage  ', Género='Shooter        ', Número de Jugadores='Online Multipla', Clasificación de Edad='               ', Fecha de Lanzamiento='Jun  1, 2015', Críticas Positivas=1, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=65, Reseñas Neutrales=7, Reseñas Negativas=12, Meta Score=63.0, User Score=77.0}
Juego{Nombre=''Tom Clancy''s ', Plataforma='XONE           ', Desarrollador='Massive Enterta', Género='Shooter        ', Número de Jugadores='Up to 16       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar  8, 2016', Críticas Positivas=27, Críticas Neutrales=6, Críticas Negativas=0, Reseñas Positivas=86, Reseñas Neutrales=32, Reseñas Negativas=27, Meta Score=80.0, User Score=69.0}
Juego{Nombre=''Tom Clancy''s ', Plataforma='PS4            ', Desarrollador='Massive Enterta', Género='Shooter        ', Número de Jugadores='Up to 24       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar  8, 2016', Críticas Positivas=50, Críticas Neutrales=12, Críticas Negativas=1, Reseñas Positivas=373, Reseñas Neutrales=122, Reseñas Negativas=124, Meta Score=80.0, User Score=70.0}
Juego{Nombre=''Tom Clancy''s ', Plataforma='PC             ', Desarrollador='Massive Enterta', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar  8, 2016', Críticas Positivas=24, Críticas Neutrales=9, Críticas Negativas=0, Reseñas Positivas=133, Reseñas Neutrales=72, Reseñas Negativas=131, Meta Score=79.0, User Score=60.0}
Juego{Nombre='Homefront: The ', Plataforma='PC             ', Desarrollador='Deep Silver Dam', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 17, 2016', Críticas Positivas=2, Críticas Neutrales=34, Críticas Negativas=12, Reseñas Positivas=15, Reseñas Neutrales=15, Reseñas Negativas=34, Meta Score=54.0, User Score=38.0}
